Recombination Event Number; Number In .RDP File; Begin; End;Begin; End;Begin; End; Recombinant Sequence(s); Minor Parental Sequence(s); Major Parental Sequence(s); RDP; GENECONV; Bootscan; Maxchi; Chimaera; SiSscan;PhylPro; LARD; 3Seq
464;923;5394; 6298*;5394; 6298*;5381; 6281*;^OQ791550_USA_2013;JX476166_India_2010;Unknown (MH144604_India_2013); 4.63874420215527E-03;NS;NS; 1.09714068950588E-03; 2.33045740481049E-03; 1.85767245396818E-09;NS;NS;NS
465;925;6294;3292;6294;3292;6277;3289;^MK800120_USA_2018;MF678337_Australia_2005;Unknown (KP233830_Kuwait_2009); 3.04512924034319E-19; 4.30514339922823E-18;NS; 1.55804002663193E-11; 2.82324226232352E-11;NS;NS;NS; 6.5236187674067E-08
466;926; 3114*;3869; 3114*;3869; 3111*;3866;MG212460_Russia_Poliovirus-3;KT946715_China_Poliovirus-3;ON596436_Nigeria_Poliovirus-2; 8.55380366661065E-44; 1.5901617043225E-39; 6.09154148624429E-38; 1.42260755712084E-16; 1.40240006341174E-16; 1.07942782215785E-19;NS;NS; 2.97804557608161E-61
467;927;5622; 6260*;5622; 6260*;5609; 6246*;MG212460_Russia_Poliovirus-3;KR259355_India_Poliovirus-1;HM107835_China_Poliovirus-2; 1.37285971234919E-34; 2.27158797559049E-32; 6.24459283701818E-32; 3.23013368310835E-12; 4.83465157357485E-12; 2.54344713127821E-14;NS;NS; 1.33185790127421E-46
468;928;6303;2873;6303;2873;6286;2870;^MZ396301_Nepal_2017;JX476168_India_2009;Unknown (MH144600_India_2013); 2.32346348728912E-08; 1.77166282145942E-07;NS; 7.20853365146005E-06; 9.6702586130573E-05;NS;NS;NS;NS
469;929;3214;4076;3208;4070;3211;4073;^JX476166_India_2010;JX476163_India_2009;KR107057_India_2010; 1.83037721610521E-04;NS; 6.82679338470733E-03; 5.30278928173391E-09; 5.38416193324825E-08; .027899331703781;NS;NS; 1.14163325570793E-07
470;933;5656; 6285*;5656; 6285*;5643; 6268*;ON502190_China_2016;Unknown (ON502207_China_2017);MG207963_China_2017; 1.36276969284197E-20; 1.15038199599455E-16; 1.72758348784751E-18; 4.42484521069085E-14; 7.7240341458278E-15; 3.2414691524643E-20;NS;NS; 4.71968789680156E-34
471;934; 4943*; 6303*; 4943*; 6303*; 4930*; 6286*;KU566507_China_2013;MN808794_China_2019;MZ540957_China_2015; 1.97177634211609E-36;NS; 8.23828258488534E-14; 1.91402299240915E-23; 2.92756169647057E-22;NS;NS;NS; 2.00425655691362E-51
472;935;6278; 3385*;6278; 3385*;6263; 3382*;MZ540957_China_2015;MF678319_Australia_2010;MW183137_China_2007; 1.13732958797512E-27; 2.90100633540224E-26; 3.2839565052088E-03; 3.44421174274161E-26; 6.30613769765896E-19;NS;NS;NS; 1.12270018187542E-21
473;936;3575; 4942*;3575; 4942*;3572; 4929*;^KU566507_China_2013;Unknown (MF574099_China_2010);MF678319_Australia_2010; 1.62630685136724E-14;NS; 6.68122967718528E-10; 1.03338913700041E-17; 6.14496018312423E-15;NS;NS;NS; 6.57874297908744E-17
474;937;4300; 6277*;4300; 6277*;4297; 6262*;^MZ540957_China_2015;KP289441_China_2013;KP266568_China_2009; 1.78802940200562E-07; 2.33939055967147E-02; 3.45447581494939E-03; 4.83794461220618E-11; 1.41238913900272E-03; 9.5753945682179E-19;NS;NS; 2.65024143207003E-18
475;938;3132;3654;3132;3654;3129;3651;^MF678319_Australia_2010;KU379646_China_2013;Unknown (KT006374_Russia_1975); 3.22876828184441E-06;NS; 4.5012245753442E-06; 1.11637725696445E-02; 9.26508361829846E-04; 2.11322657739143E-03;NS;NS;NS
476;939;2806; 4567*;2804; 4564*;2803; 4564*;^KT006374_Russia_1975;Unknown (JX843811_China_2009);MF678319_Australia_2010; 1.65353336677673E-09;NS; 1.40003967340663E-09; 2.17396224989772E-07; 9.51528007328202E-09; 6.99641753476965E-08;NS;NS; 4.65770643190005E-81
477;941~; 4031*;4410; 4031*;4410; 4028*;4407;^MF678300_Australia_2010;KM388538_China_2012;KP266576_China_2010; 1.41309355111928E-02;NS; 3.64199290199738E-02; 4.45319638952544E-02;NS; 8.78479399428937E-06;NS;NS;NS
478;942;2928;4054;2912;4038;2925;4051;^GU550508_China_1999;JX843811_China_2009;MW183136_China_2007; 1.90357008737704E-03;NS; 7.31213334754693E-04; 5.8854263145832E-04;NS; 1.02612234261578E-02;NS;NS;NS
479;944;5001;3088;5001;3088;4988;3085;^KP099941_China_2013;HM031191_China_2008;MN481500_China_2013; 2.28298456333484E-28; 8.86319409854754E-23;NS; 2.7585448879507E-19; 2.23912692729249E-20;NS;NS;NS; 1.38684629622145E-43
480;945;4662; 6305*;4662; 6305*;4650; 6288*;KJ957190_China_2010;MF574099_China_2010;HM031191_China_2008; 6.30775893737318E-19; 1.39816140800094E-17;NS; 4.65077303320485E-16; 2.71284146478609E-14;NS;NS;NS; 1.64818780681881E-13
481;947; 2443*;2819; 2443*;2819; 2440*;2816;MK800121_USA_2018;HM031191_China_2008;Unknown (KF990476_China_2012); 2.09555598138278E-07;NS;NS; 3.60406791466904E-09; 5.31226044440752E-08;NS;NS;NS; 3.3057823506889E-03
482;948;2429;3498;2415;3484;2426;3495;^KF990476_China_2012;Unknown (KJ957190_China_2010);HM031191_China_2008; 5.15769236851041E-05; 8.50078110925967E-03;NS; 2.37817701442404E-07; 7.07860701778958E-08;NS;NS;NS; 2.36481159987534E-07
483;949;3029;4428;3029;4428;3026;4425;KJ957190_China_2010;KP266568_China_2009;Unknown (HM031191_China_2008); 1.56297684984139E-03; 2.02815644501197E-02;NS; 6.50376861083005E-06; 1.99814972201459E-04;NS;NS;NS;NS
484;951;1; 3315*;1; 3315*;1; 3312*;KJ419273_China_Poliovirus-2;ON596437_Nigeria_Poliovirus-2;MG212474_Russia_Poliovirus-3; 1.68361196096649E-65; 1.38794142539113E-56;NS; 5.46076239278922E-27; 4.26494282790034E-27; 2.16158957781851E-30;NS;NS; 8.42643512364795E-62
485;952;3730;4213;3730;4213;3727;4210;KJ419274_China_Poliovirus-2;ON596437_Nigeria_Poliovirus-2;KJ170631_Nigeria_Poliovirus-3; 3.79646686999187E-43; 1.38987070089767E-40;NS; 5.62893594694633E-12; 3.85098931327397E-12;NS;NS;NS; 1.64866574883099E-47
486;953;6280; 3422*;6280; 3422*;6264; 3419*;^ON596342_Nigeria_Poliovirus-2;KJ419275_China_Poliovirus-2;Unknown (OP137278_Israel_Poliovirus-3); 1.11746093789289E-04;NS;NS; 5.28758485420342E-03; 7.78627302267219E-03;NS;NS;NS; 1.5412037960294E-06
